PROTEIN	SOURCE	LENGTH	UNIPROT_ID	Tm_(C)
Lactoylglutathione lyase	Escherichia coli	135	P0AC81	44.96
Hydroxyacylglutathione hydrolase GloB	Escherichia coli	251	P0AC84	44.45
Hydroxyacylglutathione hydrolase GloC	Escherichia coli	215	P75849	43.91
Anaerobic glycerol-3-phosphate dehydrogenase subunit A	Escherichia coli	542	P0A9C0	39.34
Anaerobic glycerol-3-phosphate dehydrogenase subunit B	Escherichia coli	419	P13033	40.59
Anaerobic glycerol-3-phosphate dehydrogenase subunit C	Escherichia coli	396	P0A996	46.7
Aerobic glycerol-3-phosphate dehydrogenase	Escherichia coli	501	P13035	42.77
Thiosulfate sulfurtransferase GlpE	Escherichia coli	108	P0A6V5	40.38
Glycerol uptake facilitator protein	Escherichia coli	281	P0AER0	51.44
Glycerol kinase	Escherichia coli	502	P0A6F3	49.18
Glycerophosphodiester phosphodiesterase, periplasmic	Escherichia coli	358	P09394	44.16
Glycerol-3-phosphate regulon repressor	Escherichia coli	252	P0ACL0	38.79
Glycerol-3-phosphate transporter	Escherichia coli	452	P08194	48.63
Fructose-1,6-bisphosphatase 1 class 2	Escherichia coli	336	P0A9C9	37.19
Transcriptional regulatory protein GlrR	Escherichia coli	444	P0AFU4	40.41
Glutaminase 1	Escherichia coli	310	P77454	46.56
Glutaminase 2	Escherichia coli	308	P0A6W0	43.74
Citrate synthase	Escherichia coli	427	P0ABH7	47.05
Glutamate synthase [NADPH] large chain	Escherichia coli	1486	P09831	47.37
Glutamate synthase [NADPH] small chain	Escherichia coli	472	P09832	44.98
Glutamate/aspartate import ATP-binding protein GltL	Escherichia coli	241	P0AAG3	39.78
Proton/glutamate-aspartate symporter	Escherichia coli	437	P21345	40.3
Glutamate--tRNA ligase	Escherichia coli	471	P04805	44.74
Glutamyl-Q tRNA	Escherichia coli	308	P27305	40.28
Serine hydroxymethyltransferase	Escherichia coli	417	P0A825	51.73
Glycine--tRNA ligase alpha subunit	Escherichia coli	303	P00960	37.07
Glycine--tRNA ligase beta subunit	Escherichia coli	689	P00961	38.2
Phosphoheptose isomerase	Escherichia coli	192	P63224	59.44
D-glycero-beta-D-manno-heptose-1,7-bisphosphate 7-phosphatase	Escherichia coli	191	P63228	39.49
Guanylate kinase	Escherichia coli	207	P60546	41.36
6-phosphogluconate dehydrogenase, decarboxylating	Escherichia coli	468	P00350	41.65
Thermoresistant gluconokinase	Escherichia coli	175	P46859	38.06
HTH-type transcriptional regulator GntR	Escherichia coli	331	P0ACP5	43.03
High-affinity gluconate transporter	Escherichia coli	438	P39835	45.84
Glutathione reductase	Escherichia coli	450	P06715	51.85
Phosphoglycolate phosphatase	Escherichia coli	252	P32662	40.93
2,3-bisphosphoglycerate-dependent phosphoglycerate mutase	Escherichia coli	250	P62707	44.63
Probable phosphoglycerate mutase GpmB	Escherichia coli	215	P0A7A2	39.65
2,3-bisphosphoglycerate-independent phosphoglycerate mutase	Escherichia coli	514	P37689	43.04
Guanosine-5'-triphosphate,3'-diphosphate pyrophosphatase	Escherichia coli	494	P25552	40.51
L-glyceraldehyde 3-phosphate reductase	Escherichia coli	346	Q46851	46.5
Glycerol-3-phosphate dehydrogenase [NAD	Escherichia coli	339	P0A6S7	39.39
Xanthine-guanine phosphoribosyltransferase	Escherichia coli	152	P0A9M5	49.84
Transcription elongation factor GreA	Escherichia coli	158	P0A6W5	39.84
Transcription elongation factor GreB	Escherichia coli	158	P30128	38.58
60 kDa chaperonin	Escherichia coli	548	P0A6F5	51.13
Protein GrpE	Escherichia coli	197	P09372	43.01
Glutaredoxin 1	Escherichia coli	85	P68688	48.98
Glutaredoxin 2	Escherichia coli	215	P0AC59	41.68
Glutaredoxin 4	Escherichia coli	115	P0AC69	41.64
Glutamate--cysteine ligase	Escherichia coli	518	P0A6W9	39.32
Glutathione synthetase	Escherichia coli	316	P04425	48.5
Glutathione-binding protein GsiB	Escherichia coli	512	P75797	44.87
Inosine-guanosine kinase	Escherichia coli	434	P0AEW6	37.61
Bifunctional glutathionylspermidine synthetase/amidase	Escherichia coli	619	P0AES0	45.57
Glutathione S-transferase GstA	Escherichia coli	201	P0A9D2	46.54
Glutathione S-transferase GstB	Escherichia coli	208	P0ACA7	43.64
GMP synthase [glutamine-hydrolyzing]	Escherichia coli	525	P04079	43.8
Inosine-5'-monophosphate dehydrogenase	Escherichia coli	488	P0ADG7	49.52
GMP reductase	Escherichia coli	347	P60560	49.34
Glucarate dehydratase	Escherichia coli	446	P0AES2	40.72
Arabinose 5-phosphate isomerase GutQ	Escherichia coli	321	P17115	40.54
DNA gyrase subunit A	Escherichia coli	875	P0AES4	41.99
DNA gyrase subunit B	Escherichia coli	804	P0AES6	37.54
Protein/nucleic acid deglycase 1	Escherichia coli	283	P31658	45.83
DnaA regulatory inactivator Hda	Escherichia coli	233	P69931	39.29
Acid stress chaperone HdeA	Escherichia coli	110	P0AES9	35.37
Protein HdeD	Escherichia coli	190	P0AET5	41.37
HTH-type transcriptional regulator HdfR	Escherichia coli	279	P0A8R9	39.3
7-alpha-hydroxysteroid dehydrogenase	Escherichia coli	255	P0AET8	48.81
DNA helicase IV	Escherichia coli	684	P15038	39.54
Glutamyl-tRNA reductase	Escherichia coli	418	P0A6X1	39.18
Delta-aminolevulinic acid dehydratase	Escherichia coli	324	P0ACB2	46.42
Porphobilinogen deaminase	Escherichia coli	313	P06983	55.19
Uroporphyrinogen decarboxylase	Escherichia coli	354	P29680	42.01
Oxygen-dependent coproporphyrinogen-III oxidase	Escherichia coli	299	P36553	40.28
Ferrochelatase	Escherichia coli	320	P23871	39.54
Glutamate-1-semialdehyde 2,1-aminomutase	Escherichia coli	426	P23893	38.79
Oxygen-independent coproporphyrinogen III oxidase	Escherichia coli	457	P32131	41.43
Protein HemX	Escherichia coli	393	P09127	44.8
Protein HemY	Escherichia coli	398	P0ACB7	40.95
HTH-type transcriptional regulator HexR	Escherichia coli	289	P46118	40.62
Modulator of FtsH protease HflC	Escherichia coli	334	P0ABC3	47.64
High frequency lysogenization protein HflD	Escherichia coli	213	P25746	40.6
Modulator of FtsH protease HflK	Escherichia coli	419	P0ABC7	47.85
GTPase HflX	Escherichia coli	426	P25519	40.52
RNA-binding protein Hfq	Escherichia coli	102	P0A6X3	39.71
Purine nucleoside phosphoramidase	Escherichia coli	119	P0ACE7	42.62
1-(5-phosphoribosyl)-5-[(5-phosphoribosylamino)methylideneamino] imidazole-4-carboxamide isomerase	Escherichia coli	245	P10371	39.37
Histidine biosynthesis bifunctional protein HisB [Includes: Histidinol-phosphatase	Escherichia coli	355	P06987	44.04
Histidinol-phosphate aminotransferase	Escherichia coli	356	P06986	40.48
Histidinol dehydrogenase	Escherichia coli	434	P06988	52.81
Imidazole glycerol phosphate synthase subunit HisF	Escherichia coli	258	P60664	40.58
ATP phosphoribosyltransferase	Escherichia coli	299	P60757	43.35
Imidazole glycerol phosphate synthase subunit HisH	Escherichia coli	196	P60595	39.76
Histidine biosynthesis bifunctional protein HisIE [Includes: Phosphoribosyl-AMP cyclohydrolase	Escherichia coli	203	P06989	52.32
Histidine-binding periplasmic protein	Escherichia coli	260	P0AEU0	43.81
Histidine--tRNA ligase	Escherichia coli	424	P60906	40.35
ADP-L-glycero-D-manno-heptose-6-epimerase	Escherichia coli	310	P67910	42.08
Bifunctional protein HldE [Includes: D-beta-D-heptose 7-phosphate kinase	Escherichia coli	477	P76658	38.21
Flavohemoprotein	Escherichia coli	396	P24232	39.44
DNA polymerase III subunit delta'	Escherichia coli	334	P28631	39.77
DNA polymerase III subunit chi	Escherichia coli	147	P28905	39.8
DNA polymerase III subunit theta	Escherichia coli	76	P0ABS8	40.17
Hypoxanthine phosphoribosyltransferase	Escherichia coli	178	P0A9M2	48.55
ATP-dependent RNA helicase HrpA	Escherichia coli	1300	P43329	38.63
ATP-dependent RNA helicase HrpB	Escherichia coli	809	P37024	39.23
Chaperone protein HscA	Escherichia coli	616	P0A6Z1	37.75
Co-chaperone protein HscB	Escherichia coli	171	P0A6L9	42.9
Type I restriction enzyme EcoKI M protein	Escherichia coli	529	P08957	37.41
Type I restriction enzyme EcoKI R protein	Escherichia coli	1170	P08956	38.12
Type-1 restriction enzyme EcoKI specificity protein	Escherichia coli	464	P05719	38.3
33 kDa chaperonin	Escherichia coli	292	P0A6Y5	42.64
Heat shock protein 15	Escherichia coli	133	P0ACG8	40.13
ATP-dependent protease ATPase subunit HslU	Escherichia coli	443	P0A6H5	44.28
ATP-dependent protease subunit HslV	Escherichia coli	176	P0A7B8	58.96
Chaperone protein HtpG	Escherichia coli	624	P0A6Z3	45.11
Protease HtpX	Escherichia coli	293	P23894	46.87
Protein HtrL	Escherichia coli	285	P25666	39.39
Hexitol phosphatase B	Escherichia coli	222	P77247	44.14
Hydrogenase-1 small chain	Escherichia coli	372	P69739	40.82
Hydrogenase-1 large chain	Escherichia coli	597	P0ACD8	41.84
Hydrogenase-2 operon protein HybA	Escherichia coli	328	P0AAJ8	43.05
Hydrogenase-2 large chain	Escherichia coli	567	P0ACE0	45.71
Hydrogenase-2 small chain	Escherichia coli	372	P69741	45.61
Hydrogenase maturation factor HypB	Escherichia coli	290	P0AAN3	39.99
Hydrogenase maturation factor HypD	Escherichia coli	373	P24192	40.01
Carbamoyl dehydratase HypE	Escherichia coli	336	P24193	41.78
Isoaspartyl peptidase	Escherichia coli	321	P37595	41.05
Isoaspartyl dipeptidase	Escherichia coli	390	P39377	56.47
Acid stress protein IbaG	Escherichia coli	84	P0A9W6	42.58
Small heat shock protein IbpA	Escherichia coli	137	P0C054	41.4
Small heat shock protein IbpB	Escherichia coli	142	P0C058	41.87
Isocitrate dehydrogenase [NADP]	Escherichia coli	416	P08200	44.32
Transcriptional repressor IclR	Escherichia coli	274	P16528	41.47
Isopentenyl-diphosphate Delta-isomerase	Escherichia coli	182	Q46822	41.64
Integration host factor subunit alpha	Escherichia coli	99	P0A6X7	30.7
Integration host factor subunit beta	Escherichia coli	94	P0A6Y1	39.67
Isoleucine--tRNA ligase	Escherichia coli	938	P00956	41.93
L-threonine dehydratase biosynthetic IlvA	Escherichia coli	514	P04968	41.79
Ketol-acid reductoisomerase	Escherichia coli	491	P05793	38.32
Dihydroxy-acid dehydratase	Escherichia coli	616	P05791	46.2
Branched-chain-amino-acid aminotransferase	Escherichia coli	309	P0AB80	48.08
Acetolactate synthase isozyme 1 small subunit	Escherichia coli	96	P0ADF8	39.58
Translation initiation factor IF-1	Escherichia coli	72	P69222	47.04
Translation initiation factor IF-2	Escherichia coli	890	P0A705	38.24
Translation initiation factor IF-3 [Cleaved into: Translation initiation factor IF-3, N-terminally processed; Translation initiation factor IF-3S]	Escherichia coli	180	P0A707	42.07
Prophage integrase IntS	Escherichia coli	385	P37326	39.35
Iron-binding protein IscA	Escherichia coli	107	P0AAC8	50.59
HTH-type transcriptional regulator IscR	Escherichia coli	162	P0AGK8	42.71
Cysteine desulfurase IscS	Escherichia coli	404	P0A6B7	46.56
Farnesyl diphosphate synthase	Escherichia coli	299	P22939	37.71
Octaprenyl diphosphate synthase	Escherichia coli	323	P0AD57	43.84
2-C-methyl-D-erythritol 4-phosphate cytidylyltransferase	Escherichia coli	236	Q46893	49.03
4-diphosphocytidyl-2-C-methyl-D-erythritol kinase	Escherichia coli	283	P62615	39.7
4-hydroxy-3-methylbut-2-en-1-yl diphosphate synthase	Escherichia coli	372	P62620	47.27
4-hydroxy-3-methylbut-2-enyl diphosphate reductase	Escherichia coli	316	P62623	41.33
Ditrans,polycis-undecaprenyl-diphosphate synthase	Escherichia coli	253	P60472	39.95
Inhibitor of vertebrate lysozyme	Escherichia coli	157	P0AD59	39.98
Catalase-peroxidase	Escherichia coli	726	P13029	41.54
2-amino-3-ketobutyrate coenzyme A ligase	Escherichia coli	398	P0AB77	45.84
2-dehydro-3-deoxygluconokinase	Escherichia coli	309	P37647	41.79
Transcriptional regulator KdgR	Escherichia coli	263	P76268	42.06
Sensor protein KdpD	Escherichia coli	894	P21865	39.67
2-dehydro-3-deoxyphosphooctonate aldolase	Escherichia coli	284	P0A715	41.18
3-deoxy-manno-octulosonate cytidylyltransferase	Escherichia coli	248	P04951	48.16
Arabinose 5-phosphate isomerase KdsD	Escherichia coli	328	P45395	41.61
Alpha-ketoglutarate permease	Escherichia coli	432	P0AEX3	50.51
Lactose operon repressor	Escherichia coli	360	P03023	39.79
Lipopolysaccharide assembly protein B	Escherichia coli	389	P0AB58	39.93
Uncharacterized tRNA/rRNA methyltransferase LasT	Escherichia coli	228	P37005	39.36
Murein tetrapeptide carboxypeptidase	Escherichia coli	304	P76008	46.26
Constitutive lysine decarboxylase	Escherichia coli	713	P52095	40.31
D-lactate dehydrogenase	Escherichia coli	329	P52643	47.76
Elongation factor 4	Escherichia coli	599	P60785	37.82
Signal peptidase I	Escherichia coli	324	P00803	45.65
3-isopropylmalate dehydrogenase	Escherichia coli	363	P30125	44.91
3-isopropylmalate dehydratase small subunit	Escherichia coli	201	P30126	39.78
Leucine--tRNA ligase	Escherichia coli	860	P07813	43.45
LexA repressor	Escherichia coli	202	P0A7C2	42.14
L-2-hydroxyglutarate dehydrogenase	Escherichia coli	422	P37339	40.77
DNA ligase	Escherichia coli	671	P15042	39.03
Lipoyl synthase	Escherichia coli	321	P60716	39.26
Leu/Ile/Val-binding protein	Escherichia coli	367	P0AD96	50.37
Leucine-specific-binding protein	Escherichia coli	369	P04816	42.29
L-lactate dehydrogenase	Escherichia coli	396	P33232	46.95
Apolipoprotein N-acyltransferase	Escherichia coli	512	P23930	41.79
Metalloprotease LoiP	Escherichia coli	252	P25894	47.55
Outer-membrane lipoprotein LolB	Escherichia coli	207	P61320	48.34
Lipoprotein-releasing system transmembrane protein LolC	Escherichia coli	399	P0ADC3	44.98
Lipoprotein-releasing system ATP-binding protein LolD	Escherichia coli	233	P75957	41.68
Lipoprotein-releasing system transmembrane protein LolE	Escherichia coli	414	P75958	43.01
Lon protease	Escherichia coli	784	P0A9M0	38.78
Dihydrolipoyl dehydrogenase	Escherichia coli	474	P0A9P0	43.37
Lipoate-protein ligase A	Escherichia coli	338	P32099	38.59
Penicillin-binding protein activator LpoA	Escherichia coli	678	P45464	45.8
Penicillin-binding protein activator LpoB	Escherichia coli	213	P0AB38	44.66
Lipopolysaccharide export system ATP-binding protein LptB	Escherichia coli	241	P0A9V1	41.16
Lipopolysaccharide export system protein LptC	Escherichia coli	191	P0ADV9	42.27
LPS-assembly protein LptD	Escherichia coli	784	P31554	61.71
LPS-assembly lipoprotein LptE	Escherichia coli	193	P0ADC1	52.83
Lipopolysaccharide export system permease protein LptF	Escherichia coli	366	P0AF98	41.35
Lipopolysaccharide export system permease protein LptG	Escherichia coli	360	P0ADC6	41.78
Acyl-[acyl-carrier-protein]--UDP-N-acetylglucosamine O-acyltransferase	Escherichia coli	262	P0A722	49.09
Lipid-A-disaccharide synthase	Escherichia coli	382	P10441	40.31
UDP-3-O-acyl-N-acetylglucosamine deacetylase	Escherichia coli	305	P0A725	40.09
UDP-3-O-	Escherichia coli	341	P21645	38.66
UDP-2,3-diacylglucosamine hydrolase	Escherichia coli	240	P43341	43.81
Lipid A biosynthesis lauroyltransferase	Escherichia coli	306	P0ACV0	45.21
Lipid A biosynthesis myristoyltransferase	Escherichia coli	323	P24205	45.5
Lipid A 1-diphosphate synthase	Escherichia coli	237	P76445	45.94
Probable HTH-type transcriptional regulator LrhA	Escherichia coli	312	P36771	44.28
Leucine-responsive regulatory protein	Escherichia coli	164	P0ACJ0	41.61
3-hydroxy-5-phosphonooxypentane-2,4-dione thiolase	Escherichia coli	291	P76143	52.43
Low specificity L-threonine aldolase	Escherichia coli	333	P75823	46.66
S-ribosylhomocysteine lyase	Escherichia coli	171	P45578	48.46
Lysine-sensitive aspartokinase 3	Escherichia coli	449	P08660	40.12
Lysine-specific permease	Escherichia coli	489	P25737	43.94
Lysine--tRNA ligase	Escherichia coli	505	P0A8N3	38.87
Lysine--tRNA ligase, heat inducible	Escherichia coli	505	P0A8N5	38.85
NAD-dependent malic enzyme	Escherichia coli	565	P26616	38.17
NADP-dependent malic enzyme	Escherichia coli	759	P76558	48.53
Fructokinase	Escherichia coli	302	P23917	45.29
Maltose/maltodextrin-binding periplasmic protein	Escherichia coli	396	P0AEX9	47.12
Maltose/maltodextrin transport system permease protein MalF	Escherichia coli	514	P02916	45.99
Maltose/maltodextrin import ATP-binding protein MalK	Escherichia coli	371	P68187	43.68
Maltose operon periplasmic protein	Escherichia coli	306	P03841	43.67
Maltodextrin phosphorylase	Escherichia coli	797	P00490	46.39
4-alpha-glucanotransferase	Escherichia coli	694	P15977	38.95
HTH-type transcriptional regulator MalT	Escherichia coli	901	P06993	39.47
PTS system maltose-specific EIICB component [Includes: Maltose permease IIC component	Escherichia coli	530	P19642	40.09
Protein MalY [Includes: Cystathionine beta-lyase MalY	Escherichia coli	390	P23256	42.58
Mannose-6-phosphate isomerase	Escherichia coli	391	P00946	43.24
PTS system mannose-specific EIIAB component	Escherichia coli	323	P69797	40.51
PTS system mannose-specific EIIC component	Escherichia coli	266	P69801	41.59
PTS system mannose-specific EIID component	Escherichia coli	283	P69805	53.68
Methionine aminopeptidase	Escherichia coli	264	P0AE18	39.21
Macrodomain Ter protein	Escherichia coli	150	P0A8N0	39.73
Antitoxin MazE	Escherichia coli	82	P0AE72	40.18
Endoribonuclease toxin MazF	Escherichia coli	111	P0AE70	42.42
Nucleoside triphosphate pyrophosphohydrolase	Escherichia coli	263	P0AEY3	41.46
5-methylcytosine-specific restriction enzyme B	Escherichia coli	459	P15005	39.4
NADPH:quinone oxidoreductase MdaB	Escherichia coli	193	P0AEY5	43.16
Malate dehydrogenase	Escherichia coli	312	P61889	42.88
Multidrug resistance-like ATP-binding protein MdlA	Escherichia coli	590	P77265	39.81
Multidrug resistance-like ATP-binding protein MdlB	Escherichia coli	593	P0AAG5	39.94
Phosphoglycerol transferase I	Escherichia coli	763	P39401	38.72
Glucans biosynthesis protein D	Escherichia coli	551	P40120	42.33
Glucans biosynthesis protein G	Escherichia coli	511	P33136	46.92
Glucans biosynthesis glucosyltransferase H	Escherichia coli	847	P62517	45.51
Multidrug resistance protein MdtA	Escherichia coli	415	P76397	40.18
Multidrug resistance protein MdtE	Escherichia coli	385	P37636	41.65
Multidrug resistance protein MdtF	Escherichia coli	1037	P37637	40.01
Multidrug resistance protein MdtK	Escherichia coli	457	P37340	42.82
Alpha-galactosidase	Escherichia coli	451	P06720	46.51
1,4-dihydroxy-2-naphthoate octaprenyltransferase	Escherichia coli	308	P32166	44.5
1,4-dihydroxy-2-naphthoyl-CoA synthase	Escherichia coli	285	P0ABU0	39.89
o-succinylbenzoate synthase	Escherichia coli	320	P29208	41.33
2-succinyl-5-enolpyruvyl-6-hydroxy-3-cyclohexene-1-carboxylate synthase	Escherichia coli	556	P17109	44.07
Isochorismate synthase MenF	Escherichia coli	431	P38051	39.71
1,4-dihydroxy-2-naphthoyl-CoA hydrolase	Escherichia coli	136	P77781	39.89
Cystathionine gamma-synthase	Escherichia coli	386	P00935	41.63
Cystathionine beta-lyase MetC	Escherichia coli	395	P06721	41.45
5-methyltetrahydropteroyltriglutamate--homocysteine methyltransferase	Escherichia coli	753	P25665	39.21
Methionine--tRNA ligase	Escherichia coli	677	P00959	45.21
Methionine synthase	Escherichia coli	1227	P13009	39.05
D-methionine transport system permease protein MetI	Escherichia coli	217	P31547	44.26
Met repressor	Escherichia coli	105	P0A8U6	41.85
S-adenosylmethionine synthase	Escherichia coli	384	P0A817	57.18
Bifunctional aspartokinase/homoserine dehydrogenase 2	Escherichia coli	810	P00562	37.06
Methionine import ATP-binding protein MetN	Escherichia coli	343	P30750	42.95
D-methionine-binding lipoprotein MetQ	Escherichia coli	271	P28635	54.76
Transcription-repair-coupling factor	Escherichia coli	1148	P30958	38.79
Methylglyoxal synthase	Escherichia coli	152	P0A731	42.76
Magnesium-transporting ATPase, P-type 1	Escherichia coli	898	P0ABB8	45.86
tRNA dimethylallyltransferase	Escherichia coli	316	P16384	39.52
tRNA-2-methylthio-N	Escherichia coli	474	P0AEI1	37.18
Septum site-determining protein MinC	Escherichia coli	231	P18196	41.41
Septum site-determining protein MinD	Escherichia coli	270	P0AEZ3	37.53
Cell division topological specificity factor	Escherichia coli	88	P0A734	46.24
Protein MioC	Escherichia coli	147	P03817	40.49
MltA-interacting protein	Escherichia coli	248	P0A908	47.35
Intermembrane phospholipid transport system lipoprotein MlaA	Escherichia coli	251	P76506	42.27
Intermembrane phospholipid transport system binding protein MlaB	Escherichia coli	97	P64602	44.31
Intermembrane phospholipid transport system binding protein MlaC	Escherichia coli	211	P0ADV7	52.87
Intermembrane phospholipid transport system binding protein MlaD	Escherichia coli	183	P64604	54.93
Intermembrane phospholipid transport system permease protein MlaE	Escherichia coli	260	P64606	40.23
Intermembrane phospholipid transport system ATP-binding protein MlaF	Escherichia coli	269	P63386	42.87
Protein mlc	Escherichia coli	406	P50456	40.15
Membrane-bound lysozyme inhibitor of C-type lysozyme	Escherichia coli	109	P28224	41.51
Membrane-bound lytic murein transglycosylase A	Escherichia coli	365	P0A935	38.89
Membrane-bound lytic murein transglycosylase B	Escherichia coli	361	P41052	39.96
Membrane-bound lytic murein transglycosylase C	Escherichia coli	359	P0C066	39.71
Endolytic murein transglycosylase	Escherichia coli	340	P28306	41.48
Homocysteine S-methyltransferase	Escherichia coli	310	Q47690	39.73
Mannosyl-D-glycerate transport/metabolism system repressor MngR	Escherichia coli	240	P13669	39.23
tRNA-specific 2-thiouridylase MnmA	Escherichia coli	368	P25745	40.32
tRNA 5-methylaminomethyl-2-thiouridine biosynthesis bifunctional protein MnmC	Escherichia coli	668	P77182	39.54
tRNA modification GTPase MnmE	Escherichia coli	454	P25522	38.92
tRNA uridine 5-carboxymethylaminomethyl modification enzyme MnmG	Escherichia coli	629	P0A6U3	38.92
Transcriptional regulator MntR	Escherichia coli	155	P0A9F1	42.12
Molybdenum cofactor biosynthesis protein B	Escherichia coli	170	P0AEZ9	56.31
Molybdopterin synthase catalytic subunit	Escherichia coli	150	P30749	42.95
Molybdate-binding protein ModA	Escherichia coli	257	P37329	56.54
DNA-binding transcriptional dual regulator ModE	Escherichia coli	262	P0A9G8	42.25
Molybdopterin molybdenumtransferase	Escherichia coli	411	P12281	41.68
Molybdopterin-synthase adenylyltransferase	Escherichia coli	249	P12282	41.68
Molybdopterin adenylyltransferase	Escherichia coli	195	P0AF03	53.62
Murein peptide amidase A	Escherichia coli	242	P0ACV6	42.43
UDP-N-acetylmuramate--L-alanyl-gamma-D-glutamyl-meso-2,6-diaminoheptandioate ligase	Escherichia coli	457	P37773	43.65
Periplasmic murein peptide-binding protein	Escherichia coli	537	P77348	45.67
Transcriptional repressor MprA	Escherichia coli	176	P0ACR9	39.16
Antitoxin MqsA	Escherichia coli	131	Q46864	40.12
Phospho-N-acetylmuramoyl-pentapeptide-transferase	Escherichia coli	360	P0A6W3	42.97
Transcriptional regulator MraZ	Escherichia coli	152	P22186	39.73
Penicillin-binding protein 1A	Escherichia coli	850	P02918	38.91
Penicillin-binding protein 1B	Escherichia coli	844	P02919	50.45
Peptidoglycan D,D-transpeptidase MrdA	Escherichia coli	633	P0AD65	39.11
Peptidoglycan glycosyltransferase MrdB	Escherichia coli	370	P0ABG7	41.42
Cell shape-determining protein MreB	Escherichia coli	347	P0A9X4	37.39
Cell shape-determining protein MreC	Escherichia coli	367	P16926	42.2
Iron-sulfur cluster carrier protein	Escherichia coli	369	P0AF08	44.43
Mrr restriction system protein	Escherichia coli	304	P24202	38.61
Lipid A export ATP-binding/permease protein MsbA	Escherichia coli	582	P60752	41.13
Mechanosensitive channel MscK	Escherichia coli	1120	P77338	39.91
Large-conductance mechanosensitive channel	Escherichia coli	136	P0A742	44.68
Miniconductance mechanosensitive channel MscM	Escherichia coli	1107	P39285	40.21
Small-conductance mechanosensitive channel	Escherichia coli	286	P0C0S1	53.4
Peptide methionine sulfoxide reductase MsrA	Escherichia coli	212	P0A744	39.3
Free methionine-R-sulfoxide reductase	Escherichia coli	165	P76270	41.39
Acidic protein MsyB	Escherichia coli	124	P25738	40.25
Protein MtfA	Escherichia coli	265	P76346	40.26
PTS system mannitol-specific EIICBA component	Escherichia coli	637	P00550	46.3
Mannitol-1-phosphate 5-dehydrogenase	Escherichia coli	382	P09424	42.95
5'-methylthioadenosine/S-adenosylhomocysteine nucleosidase	Escherichia coli	232	P0AF12	46.56
G/U mismatch-specific DNA glycosylase	Escherichia coli	168	P0A9H1	39.57
Chromosome partition protein MukB	Escherichia coli	1486	P22523	39.18
Chromosome partition protein MukE	Escherichia coli	234	P22524	40.7
Chromosome partition protein MukF	Escherichia coli	440	P60293	40.89
UDP-N-acetylglucosamine 1-carboxyvinyltransferase	Escherichia coli	419	P0A749	38.57
UDP-N-acetylenolpyruvoylglucosamine reductase	Escherichia coli	342	P08373	41.21
UDP-N-acetylmuramate--L-alanine ligase	Escherichia coli	491	P17952	37.83
UDP-N-acetylmuramoylalanine--D-glutamate ligase	Escherichia coli	438	P14900	40.16
UDP-N-acetylmuramoyl-L-alanyl-D-glutamate--2,6-diaminopimelate ligase	Escherichia coli	495	P22188	40.46
UDP-N-acetylmuramoyl-tripeptide--D-alanyl-D-alanine ligase	Escherichia coli	452	P11880	38.99
UDP-N-acetylglucosamine--N-acetylmuramyl-	Escherichia coli	355	P17443	40.54
Glutamate racemase	Escherichia coli	285	P22634	38.17
Lipid II flippase MurJ	Escherichia coli	511	P0AF16	41.27
N-acetylmuramic acid 6-phosphate etherase	Escherichia coli	298	P76535	39.05
Formamidopyrimidine-DNA glycosylase	Escherichia coli	269	P05523	39.82
DNA mismatch repair protein MutS	Escherichia coli	853	P23909	38.2
8-oxo-dGTP diphosphatase	Escherichia coli	129	P08337	42.18
Adenine DNA glycosylase	Escherichia coli	350	P17802	40.74
Nicotinate-nucleotide pyrophosphorylase [carboxylating]	Escherichia coli	297	P30011	39.24
NH(3)-dependent NAD(+) synthetase	Escherichia coli	275	P18843	38.32
NAD kinase	Escherichia coli	292	P0A7B3	42.95
Trifunctional NAD biosynthesis/regulator protein NadR [Includes: Transcriptional regulator NadR; Nicotinamide mononucleotide adenylyltransferase	Escherichia coli	410	P27278	40.3
N-acetylglucosamine-6-phosphate deacetylase	Escherichia coli	382	P0AF18	44.98
Glucosamine-6-phosphate deaminase	Escherichia coli	266	P0A759	45.61
N-acetylglucosamine repressor	Escherichia coli	406	P0AF20	41.13
Ribonucleotide monophosphatase NagD	Escherichia coli	250	P0AF24	47.63
PTS system N-acetylglucosamine-specific EIICBA component	Escherichia coli	648	P09323	43.25
N-acetyl-D-glucosamine kinase	Escherichia coli	303	P75959	40.95
Beta-hexosaminidase	Escherichia coli	341	P75949	41.59
Putative N-acetylmannosamine-6-phosphate 2-epimerase	Escherichia coli	229	P0A761	39.04
N-acetylmannosamine kinase	Escherichia coli	291	P45425	47.08
HTH-type transcriptional repressor NanR	Escherichia coli	263	P0A8W0	40.19
Periplasmic nitrate reductase	Escherichia coli	828	P33937	46.5
Periplasmic nitrate reductase, electron transfer subunit	Escherichia coli	149	P0ABL3	39.81
Respiratory nitrate reductase 1 alpha chain	Escherichia coli	1247	P09152	52.91
Respiratory nitrate reductase 1 beta chain	Escherichia coli	512	P11349	54.82
Respiratory nitrate reductase 1 gamma chain	Escherichia coli	225	P11350	43.05
Nitrate/nitrite transporter NarK	Escherichia coli	463	P10903	41.23
Nitrate/nitrite response regulator protein NarL	Escherichia coli	216	P0AF28	42.81
Nitrate/nitrite response regulator protein NarP	Escherichia coli	215	P31802	38.31
Nitrate/nitrite sensor protein NarX	Escherichia coli	598	P0AFA2	39.74
NADH dehydrogenase	Escherichia coli	434	P00393	42.45
